audit_id,entry_id,source_split,also_in_compressed,dataset,category,task,instruction,semantic_grounding_score,geometric_action_consistency_score,physics_feasibility_score,retrieval_utility_score,overall_quality_score,uncertainty,predicted_decision,human_semantic_grounding_score,human_geometric_action_consistency_score,human_physics_feasibility_score,human_retrieval_utility_score,human_overall_decision,adjudication_notes,provenance
audit_0000,s2p2e-rag-0014592,full,False,shapenet,car,insert,"insert the car into the slot grasp, place, align",0.6630007028579712,0.9226848483085632,0.9999067187309265,0.8626486659049988,0.8642551302909851,0.004186729434877634,revise,,,,,,,provisional_model_estimate
audit_0001,s2p2e-rag-0003278,full,False,shapenet,airplane,pour,"pour using the airplane grasp, place, align",0.5215861797332764,0.887263298034668,0.999269962310791,0.7908807992935181,0.8021758794784546,0.0046013700775802135,revise,,,,,,,provisional_model_estimate
audit_0002,s2p2e-rag-0036048,full,False,shapenet,monitor,pour,"pour using the monitor grasp, place, align",0.5242297053337097,0.8823199272155762,0.9997687339782715,0.7801560759544373,0.7981662750244141,0.003843050915747881,revise,,,,,,,provisional_model_estimate
audit_0003,s2p2e-rag-0032098,full,False,shapenet,laptop,pour,"pour using the laptop grasp, place, align",0.5269196033477783,0.9017327427864075,0.9994615316390991,0.6842533349990845,0.7779501676559448,0.005546707659959793,reject,,,,,,,provisional_model_estimate
audit_0004,s2p2e-rag-0029256,full,True,shapenet,guitar,place,"place the guitar at the target zone grasp, place, align",0.9004756808280945,0.9633755683898926,0.9987541437149048,0.9487287402153015,0.9548630714416504,0.004102981649339199,accept,,,,,,,provisional_model_estimate
audit_0005,s2p2e-rag-0018289,full,False,shapenet,chair,tool_use,"use the chair as a tool support, lift, align",0.5588032603263855,0.8638359904289246,0.9996625185012817,0.6852956414222717,0.7769471406936646,0.0036727688275277615,reject,,,,,,,provisional_model_estimate
audit_0006,s2p2e-rag-0013434,full,True,shapenet,bottle,tool_use,"use the bottle as a tool grasp, pour, upright",0.8808416128158569,0.9350501298904419,0.999600887298584,0.9377681612968445,0.9404873847961426,0.0020454234909266233,accept,,,,,,,provisional_model_estimate
audit_0007,s2p2e-rag-0011395,full,True,shapenet,bookshelf,pick,"pick the bookshelf grasp, place, align",0.9016507863998413,0.9613914489746094,0.9994314312934875,0.9340062141418457,0.9503909945487976,0.0026265454944223166,accept,,,,,,,provisional_model_estimate
audit_0008,s2p2e-rag-0055302,full,False,shapenet,toilet,insert,"insert the toilet into the slot grasp, place, align",0.8534239530563354,0.890374481678009,0.9994297027587891,0.7665727734565735,0.8769863247871399,0.004751799162477255,revise,,,,,,,provisional_model_estimate
audit_0009,s2p2e-rag-0004165,full,True,shapenet,bathtub,pick,"pick the bathtub grasp, place, align",0.8962645530700684,0.9183018803596497,0.9997400045394897,0.9008380770683289,0.9300588369369507,0.004885968752205372,accept,,,,,,,provisional_model_estimate
audit_0010,s2p2e-rag-0003905,full,True,shapenet,bathtub,pick,"pick the bathtub grasp, place, align",0.8964969515800476,0.9146904945373535,0.9994875192642212,0.9118682742118835,0.9319299459457397,0.003830216359347105,accept,,,,,,,provisional_model_estimate
audit_0011,s2p2e-rag-0012280,full,True,shapenet,bottle,pick,"pick the bottle grasp, pour, upright",0.9012584686279297,0.9632593393325806,0.9992340207099915,0.9511563181877136,0.9554012417793274,0.0030987802892923355,accept,,,,,,,provisional_model_estimate
